###
# RoG, CIP1,CIP2,CIP3 RoG (remove these lines before starting to cluster)
###
432 9.242750,1214.466017,1307.374802,1636.129874 9.242750
433 9.296305,1162.160144,1283.728260,1621.633476 9.296305
434 10.311701,844.252546,976.391110,1359.079650 10.311701
435 10.364740,822.521704,921.546040,1356.484309 10.364740
436 9.202538,1195.455340,1336.062644,1649.245226 9.202538
437 9.176040,1226.927945,1320.448027,1667.004537 9.176040
438 9.211223,1238.426099,1386.054319,1669.148957 9.211223
439 9.183050,1261.826351,1361.789544,1695.430494 9.183050
440 9.185337,1265.951361,1370.902751,1696.510911 9.185337
441 9.290862,1231.054650,1321.031313,1661.900965 9.290862
442 9.149732,1256.365623,1357.206262,1699.717820 9.149732
443 9.218790,1259.436054,1316.538175,1673.097596 9.218790
444 9.466772,1103.453651,1303.534230,1580.445831 9.466772
445 9.265981,1159.089999,1351.347298,1608.265411 9.265981
446 9.324190,1139.654966,1277.510102,1586.105774 9.324190
447 9.305353,1149.761980,1294.001180,1600.597272 9.305353
448 9.157387,1243.580161,1345.073853,1692.643002 9.157387
449 9.197576,1234.283618,1277.596274,1662.090657 9.197576
450 9.327828,1180.827047,1259.551805,1623.637364 9.327828
451 9.155379,1245.769364,1334.083426,1683.225126 9.155379
452 9.291431,1178.481825,1326.609877,1644.821312 9.291431
453 9.263176,1202.203578,1341.103444,1664.852487 9.263176
454 9.191456,1237.488120,1309.630754,1654.895073 9.191456
455 9.193737,1204.244327,1316.009709,1662.171949 9.193737
456 9.417169,1143.635000,1259.609782,1608.153649 9.417169
457 9.199223,1200.519782,1272.111873,1649.315221 9.199223
458 9.183858,1234.773842,1311.974098,1669.684346 9.183858
459 9.278471,1188.913214,1306.829617,1644.595493 9.278471
460 9.160416,1206.768421,1345.841018,1671.205567 9.160416
461 9.294252,1196.306224,1320.625238,1647.675984 9.294252
462 9.208723,1220.479234,1323.115485,1654.491954 9.208723
463 9.346211,1189.993700,1288.220564,1621.927805 9.346211
464 9.812749,1019.403293,1153.238478,1436.789478 9.812749
465 9.822137,1025.338282,1152.261501,1459.781902 9.822137
